arisa_frag,2000/8/17,2000/9/18,2000/10/9,2000/12/8,2001/1/16,2001/2/5,2001/3/19,2001/4/2,2001/5/9,2001/6/23,2001/6/29,2001/6/30,2001/7/27,2001/8/24,2001/9/28,2001/10/29,2001/11/19,2001/12/17,2002/1/14,2002/2/20,2002/3/15,2002/4/22,2002/5/20,2002/6/19,2002/7/11,2002/8/20,2002/9/11,2002/12/9,2003/1/15,2003/3/12,2003/5/5,2003/5/21,2003/6/17,2003/7/2,2003/8/14,2003/9/18,2003/10/22,2003/11/12,2003/12/16,2004/2/19,2004/3/17,2004/4/22,2004/5/19,2004/6/17,2004/7/14,2004/8/25,2004/9/22,2004/10/14,2004/11/17,2004/12/15,2005/3/16,2005/4/20,2005/5/4,2005/5/11,2005/6/14,2005/9/15,2005/10/20,2005/11/17,2006/1/18,2006/2/22,2006/3/29,2006/4/19,2006/6/20,2006/7/25,2006/8/24,2006/9/13,2006/10/15,2007/2/14,2007/4/4,2007/5/21,2007/6/15,2007/8/15,2007/9/20,2007/11/14,2007/12/17,2008/3/19,2008/4/22,2008/5/14,2008/6/18,2008/7/9,2008/8/20,2008/9/22,2008/10/20,2008/11/20,2008/12/11,2009/2/18,2009/4/23,2009/5/13,2009/6/18,2009/7/9,2009/7/10,2009/8/19,2009/9/24,2009/12/23,2010/1/28,2010/2/11,2010/3/24,2010/4/27,2010/5/17,2010/6/29,2010/7/21,
ARISA_712.4,0,0.002244081,0.012537514,0,0.000553023,0,0,0,0,0.004092164,0.000629031,0,0.002211104,0.00200008,0.002830119,0.004693188,0.0021741,0,0,0.001131045,0,0,0,0,0,0,0,0,0.00454825,0,0,0.000790018,0,0,0,0,0.000599019,0.003288141,0.001335061,0,0,0,0,0.001418075,0,0.000575021,0.00434717,0.009478427,0.003667139,0.001447064,0,0,0,0,0,0,0,0,0,0.00131907,0,0,0.007809383,0,0,0.000403015,0.000981046,0,0,0,0,0,0,0,0,0,0.002604102,0,0,0,0.002228078,0.00717633,0.000613018,0,0,0,0.001704063,0.000667027,0.000566024,0.001382059,0,0.004186092,0.001639072,0,0,0,0,0,0,0,0,0.000988784
ARISA_713.9,0,0,0.000960039,0,0.002122089,0.002404099,0,0.000834032,0.000710026,0.008697348,0.001820089,0.000693033,0.002370111,0.004735189,0.002502105,0.005700228,0.00370117,0,0.000839038,0.003336133,0.001341047,0,0,0,0,0,0,0.001010044,0.004021221,0,0,0.00390809,0,0,0,0,0.019262616,0.002625113,0.007972367,0,0.000747029,0,0.00064403,0.001413075,0.003295135,0.003101112,0.007931309,0.008868399,0.005395205,0.003204141,0,0,0,0,0,0,0,0,0,0.001191063,0,0.00066947,0,0,0,0,0.00064703,0.004533172,0,0,0,0,0,0,0,0,0,0,0.000544025,0,0,0,0,0,0,0,0,0,0.002087088,0.002275098,0,0.005417119,0.001172052,0,0,0.00068603,0,0,0,0,0,0.001340463
ARISA_716.8,0.002225094,0.040706465,0.018430756,0.003062126,0.002198092,0,0,0.000604023,0,0.004926197,0.007186352,0.001429067,0.003966186,0.006395256,0.000881037,0.006706268,0.005925273,0.011101366,0.001578071,0.002291092,0.000872031,0.001679052,0.001968069,0,0,0.000631025,0.001065034,0.012397546,0.010997605,0.005114194,0,0.004971114,0,0,0,0.001589043,0.022988736,0.005713246,0.013384616,0.002124106,0.004888191,0.001024041,0.004854223,0.005127272,0.00462319,0.007807281,0.018731731,0.017707797,0.010307392,0.00750133,0.000602878,0,0,0,0.006288245,0.005203286,0.00165507,0,0,0.005131272,0.000846042,0,0.003079151,0.000735035,0.010523421,0.004005644,0.007255341,0.005502209,0.000721678,0,0,0.001235047,0,0.003821164,0.000715033,0,0,0,0.008418379,0.001246046,0.002903102,0.003860178,0.004018121,0.002600107,0,0.000654024,0,0,0.006634279,0.016869725,0.002440098,0.025283556,0.017638776,0.00167007,0.00256111,0,0.002237078,0,0,0,0.001557081,0.00441181
ARISA_718.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905028,0.001647058,0,0,0,0.003676118,0.001614071,0.000671037,0.000719027,0,0,0,0,0,0,0.006105195,0,0,0,0.001039041,0,0,0.001977105,0.001649068,0.001289046,0.009196359,0.012502563,0.007004266,0.003977175,0,0,0,0,0.001754068,0.004403242,0.001800076,0,0,0.004105218,0,0.000773543,0.002551125,0.000625029,0.003159126,0.009021325,0.004953233,0,0.000598563,0.000583021,0,0.002581098,0,0.005174223,0.001577073,0,0,0.000533023,0.005212235,0.001473055,0.003187112,0.000740034,0.00365011,0.004507185,0.009261278,0,0,0,0.005023211,0.012764549,0.001322053,0.010591233,0.008049354,0.001288054,0.002369102,0.024571081,0,0,0,0,0,0.001902721
ARISA_721.2,0,0.00194507,0.003578147,0.002294094,0,0,0,0,0,0.006485259,0,0,0,0,0.000576024,0,0,0,0.000838038,0,0,0,0,0,0,0,0.000665021,0,0,0,0,0,0,0,0,0,0,0,0.012420571,0,0,0,0.001056049,0.004691249,0,0,0.001479058,0.003405153,0,0.002913128,0.000787147,0,0,0,0.00487619,0.001495082,0.003210135,0,0.009562354,0.001649087,0.002849143,0.001612132,0,0.000674032,0.005423217,0.000858531,0.007920372,0.005917225,0,0,0,0,0,0.002069089,0,0,0,0,0.000681031,0,0,0.004325199,0.002261068,0,0,0,0.001577058,0.006535261,0.00285012,0.014574627,0.004234169,0.004149091,0.009973439,0,0,0.005319234,0,0,0,0,0,0.001462682
ARISA_724.3,0.001707072,0.00472417,0.002306095,0.004188172,0.003736157,0,0.002229089,0.011423434,0.000710026,0.00099804,0,0.000619029,0.000569027,0.002070083,0.000631027,0.00075903,0,0,0.005209234,0.001485059,0.001661058,0,0.000546019,0,0.001198044,0,0.002456079,0,0.001617089,0,0,0,0,0,0,0.000796022,0.000906029,0,0,0.003288164,0.008054314,0.004871195,0.002127098,0.005537294,0.002906119,0.003455124,0.001297051,0.00065903,0.001168044,0,0,0,0,0,0,0.012276675,0,0,0.016645616,0.00716638,0.000556028,0,0.021135036,0.016436773,0,0,0.004062191,0.006773257,0.002516365,0,0,0,0,0,0.001890087,0,0,0,0.001235056,0,0,0.016133742,0,0,0,0,0.029336085,0.016149646,0.000599025,0.034052464,0.009097364,0.017763391,0.00657929,0.000587025,0.005504237,0,0.002646093,0,0,0,0.000674035,0.003125984
ARISA_726.4,0.006493273,0,0,0.002492102,0.007021295,0.032010312,0.000820033,0.007325278,0.002103076,0.017128685,0.004629227,0.004400207,0.001180056,0,0,0.002138086,0.001825084,0.027653913,0.005289238,0.004804192,0.004709165,0.000887028,0.001822064,0.004104168,0.002765102,0.003672147,0.008318266,0.003578157,0.010699589,0.012572478,0,0,0.00241308,0,0.000564012,0.000626017,0.013899445,0.00187008,0.021897007,0.009859493,0.011337442,0.002839114,0.007864362,0.011784625,0.016381672,0.009066326,0.022103862,0.007278328,0.009846374,0.004897216,0,0,0.003015084,0.002172364,0.01051041,0.021577187,0,0,0,0.009188487,0.002271114,0.00155209,0.006136301,0.007348345,0.003952158,0,0,0.006951264,0.006469081,0.002516091,0.000593033,0.002313088,0.0044422,0.00301513,0.000924043,0.000795031,0.004063159,0.001064046,0.012379557,0.017585651,0.003856135,0.02217102,0.001585048,0,0,0.002195079,0.018463683,0.01200148,0.007490315,0.016491709,0.002201088,0.049039079,0.008705383,0.006275264,0.008265355,0.003138138,0.006053212,0.002929082,0.00078102,0.002018048,0.006838356,0.00639905
ARISA_729.4,0.008985377,0.023231836,0.01975481,0.00780032,0.004320181,0.007734317,0.000878035,0.000841032,0.002241081,0.01125245,0.004298211,0.012783601,0.005915278,0.012645506,0.019061801,0.004145166,0.010231471,0,0.004324195,0.001680067,0.004364153,0.00097903,0,0.004355179,0.004154154,0.001978079,0.015891509,0.008887391,0.006408353,0.002323088,0,0,0.000985033,0.001194038,0.000738016,0,0.009963319,0.011281485,0.013143605,0.001297065,0.009399367,0.006866275,0.006200285,0.01113759,0.006273257,0.011222404,0.049905946,0.00534124,0.007871299,0.016611731,0,0,0,0.001153725,0.00718828,0.010648586,0.014059591,0,0.049313825,0.018777995,0.002069104,0.00074052,0.015551762,0.007431349,0.013409536,0.019983719,0.059233784,0.00290611,0.002653494,0.003939142,0,0.011950454,0.006689301,0.010090434,0.006762311,0.001000039,0.002327091,0,0.008114365,0.012410459,0.007251254,0.028834326,0.008091243,0.013919571,0.010085303,0.004500162,0.037896402,0.034615385,0.012905542,0.019494838,0.086335453,0.050684115,0.075437319,0.014576612,0.014717633,0.017676778,0.000619022,0,0,0,0.010973571,0.011068486
ARISA_732.2,0.001023043,0,0.006460265,0,0,0.001349055,0,0,0,0.001536061,0,0,0,0,0.001277054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000746041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001421064,0,0,0,0,0,0,0.004836189,0,0.000875037,0,0.043975627,0.001583084,0,0,0.014873729,0.000571027,0.000861034,0.003298619,0.014314673,0,0,0,0,0.000758029,0,0.001724074,0.00064803,0,0,0,0,0,0,0.014005644,0,0,0,0,0.043077594,0.03824653,0,0.007422319,0.021874875,0.001623036,0.011403502,0.00095504,0.001419061,0.001333059,0,0,0,0,0.000617032,0.002416925
ARISA_732.5,0,0,0,0,0,0,0,0,0,0,0,0.000756036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42878E-05
