,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,alpha,delay_yz,is_global,,,,,,
20,0.8,0,False,0.1838,0.3502,-1.6364,0.6742,1.3636,1.0269
20,1.0,0,False,0.1725,0.349,-1.3,0.9487,1.3,0.8233
40,0.8,0,False,0.553,0.4203,-2.6875,1.3545,2.4375,1.4354
40,1.0,0,False,0.5205,0.4309,-2.5333,1.5025,2.4667,1.5916
60,0.8,0,False,0.8694,0.1331,-3.6531,1.9953,2.5918,2.3445
60,1.0,0,False,0.888,0.0605,-2.9,2.2968,3.4,2.3733
