,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,alpha,delay_yz,is_global,,,,,,
40,0.8,0,False,0.4553,0.4427,-2.1923,1.357,2.4231,1.2385
40,1.0,0,False,0.5557,0.4227,-2.4688,1.6261,2.5,1.6064
60,0.8,0,False,0.8241,0.2158,-3.766,2.1691,3.0638,2.161
60,1.0,0,False,0.8626,0.1872,-2.4792,2.4144,3.0833,2.448
80,0.8,0,False,0.8852,0.0526,-4.8,3.1037,3.62,2.8492
80,1.0,0,False,0.9005,0.0515,-3.68,3.0468,3.58,2.9213
100,0.8,0,False,0.8889,0.0546,-5.68,4.2158,4.4,3.6027
100,1.0,0,False,0.8855,0.0494,-4.86,3.6366,5.76,3.5258
