n,effect_size,delay_yz,is_global,Recall,Recall_std,n_exp,lla_score_mean,lla_score_std,FPR,FPR_std,n_ctrl,batch_time_seconds
100,0.5,0,False,1.0,0.0,50,0.4562,0.0212,0.02,0.1414,50,761.14
100,0.6,0,False,1.0,0.0,50,0.4567,0.0193,0.12,0.3283,50,811.98
100,0.7,0,False,1.0,0.0,50,0.4558,0.0172,0.04,0.1979,50,806.43
