n,seed,corr_start0,corr_end0,s_true,e_true,s_pred,e_pred,J,Coverage,L_int,L_union,MAE_start,MAE_end,P,LA,power_hit
40,8,16,23,17,24,14,40,0.2962962962962963,1.0,8,27,3,16,0.023,0.45128278,True
40,9,16,23,17,24,8,23,0.4117647058823529,0.875,7,17,9,1,0.397,0.23051548,False
40,10,16,23,17,24,2,25,0.3333333333333333,1.0,8,24,15,1,0.322,0.24439261,False
40,11,16,23,17,24,11,40,0.26666666666666666,1.0,8,30,6,16,0.224,0.2802933,False
40,12,16,23,17,24,1,11,0.0,0.0,0,19,16,13,0.601,-0.18360174,False
40,13,16,23,17,24,17,34,0.4444444444444444,1.0,8,18,0,10,0.331,0.26723185,False
40,14,16,23,17,24,1,39,0.20512820512820512,1.0,8,39,16,15,0.195,0.30336671,False
40,15,16,23,17,24,7,39,0.24242424242424243,1.0,8,33,10,15,0.061,0.3950925,False
40,16,16,23,17,24,14,24,0.7272727272727273,1.0,8,11,3,0,0.469,0.23529977,False
40,17,16,23,17,24,8,30,0.34782608695652173,1.0,8,23,9,6,0.201,0.26932732,False
40,18,16,23,17,24,17,31,0.5333333333333333,1.0,8,15,0,7,0.08,0.39379246,False
40,19,16,23,17,24,2,27,0.3076923076923077,1.0,8,26,15,3,0.032,0.38782161,True
40,20,16,23,17,24,2,30,0.27586206896551724,1.0,8,29,15,6,0.027,0.42379556,True
40,21,16,23,17,24,1,25,0.32,1.0,8,25,16,1,0.164,0.35666862,False
40,22,16,23,17,24,17,34,0.4444444444444444,1.0,8,18,0,10,0.475,0.20959831,False
40,23,16,23,17,24,16,29,0.5714285714285714,1.0,8,14,1,5,0.06,0.42187267,False
40,24,16,23,17,24,4,36,0.24242424242424243,1.0,8,33,13,12,0.041,0.39361137,True
40,25,16,23,17,24,3,40,0.21052631578947367,1.0,8,38,14,16,0.198,0.29489389,False
40,26,16,23,17,24,14,33,0.4,1.0,8,20,3,9,0.37,0.27303565,False
40,27,16,23,17,24,15,29,0.5333333333333333,1.0,8,15,2,5,0.039,0.40233977,True
40,28,16,23,17,24,17,29,0.6153846153846154,1.0,8,13,0,5,0.252,0.32760977,False
40,29,16,23,17,24,16,27,0.6666666666666666,1.0,8,12,1,3,0.7,0.20478823,False
40,30,16,23,17,24,11,36,0.3076923076923077,1.0,8,26,6,12,0.052,0.36770293,False
40,31,16,23,17,24,2,23,0.30434782608695654,0.875,7,23,15,1,0.115,0.35708119,False
40,32,16,23,17,24,5,39,0.22857142857142856,1.0,8,35,12,15,0.057,0.41440654,False
40,33,16,23,17,24,16,33,0.4444444444444444,1.0,8,18,1,9,0.279,0.30037275,False
40,34,16,23,17,24,11,24,0.5714285714285714,1.0,8,14,6,0,0.109,0.27552118,False
40,35,16,23,17,24,8,31,0.3333333333333333,1.0,8,24,9,7,0.097,0.32908063,False
40,36,16,23,17,24,4,37,0.23529411764705882,1.0,8,34,13,13,0.033,0.42396023,True
40,37,16,23,17,24,16,24,0.8888888888888888,1.0,8,9,1,0,0.378,0.2698052,False
40,38,16,23,17,24,17,40,0.3333333333333333,1.0,8,24,0,16,0.567,0.21704365,False
40,39,16,23,17,24,10,26,0.47058823529411764,1.0,8,17,7,2,0.172,0.32234885,False
40,40,16,23,17,24,12,37,0.3076923076923077,1.0,8,26,5,13,0.164,0.30764094,False
40,41,16,23,17,24,1,40,0.2,1.0,8,40,16,16,0.247,0.3412461,False
40,42,16,23,17,24,17,40,0.3333333333333333,1.0,8,24,0,16,0.639,0.22513417,False
40,43,16,23,17,24,1,31,0.25806451612903225,1.0,8,31,16,7,0.024,0.39917493,True
40,44,16,23,17,24,2,39,0.21052631578947367,1.0,8,38,15,15,0.003,0.51552696,True
40,45,16,23,17,24,15,36,0.36363636363636365,1.0,8,22,2,12,0.326,0.27030979,False
40,46,16,23,17,24,3,33,0.25806451612903225,1.0,8,31,14,9,0.208,0.33059546,False
40,47,16,23,17,24,12,27,0.5,1.0,8,16,5,3,0.18,0.32057132,False
40,48,16,23,17,24,17,35,0.42105263157894735,1.0,8,19,0,11,0.462,0.27988407,False
40,49,16,23,17,24,2,36,0.22857142857142856,1.0,8,35,15,12,0.014,0.53634394,True
40,50,16,23,17,24,13,29,0.47058823529411764,1.0,8,17,4,5,0.291,0.27936097,False
40,1,14,25,15,26,3,25,0.4583333333333333,0.9166666666666666,11,24,12,1,0.08,0.39002761,False
40,2,14,25,15,26,10,31,0.5454545454545454,1.0,12,22,5,5,0.0,0.59472279,True
40,3,14,25,15,26,14,30,0.7058823529411765,1.0,12,17,1,4,0.253,0.32650122,False
40,4,14,25,15,26,5,26,0.5454545454545454,1.0,12,22,10,0,0.49,0.26979807,False
40,5,14,25,15,26,14,37,0.5,1.0,12,24,1,11,0.021,0.44936482,True
40,6,14,25,15,26,13,28,0.75,1.0,12,16,2,2,0.207,0.33479263,False
40,7,14,25,15,26,3,28,0.46153846153846156,1.0,12,26,12,2,0.016,0.49480342,True
40,8,14,25,15,26,14,40,0.4444444444444444,1.0,12,27,1,14,0.041,0.42257161,True
40,9,14,25,15,26,11,26,0.75,1.0,12,16,4,0,0.174,0.3011128,False
40,10,14,25,15,26,4,26,0.5217391304347826,1.0,12,23,11,0,0.266,0.25023779,False
40,11,14,25,15,26,11,40,0.4,1.0,12,30,4,14,0.068,0.39265872,False
40,12,14,25,15,26,11,35,0.48,1.0,12,25,4,9,0.155,0.29478601,False
40,13,14,25,15,26,15,34,0.6,1.0,12,20,0,8,0.141,0.3522843,False
40,14,14,25,15,26,1,39,0.3076923076923077,1.0,12,39,14,13,0.006,0.46563397,True
40,15,14,25,15,26,8,39,0.375,1.0,12,32,7,13,0.034,0.42432032,True
40,16,14,25,15,26,15,29,0.8,1.0,12,15,0,3,0.418,0.24525542,False
40,17,14,25,15,26,12,30,0.631578947368421,1.0,12,19,3,4,0.094,0.34565889,False
40,18,14,25,15,26,9,31,0.5217391304347826,1.0,12,23,6,5,0.022,0.43972403,True
40,19,14,25,15,26,8,27,0.6,1.0,12,20,7,1,0.019,0.4589951,True
40,20,14,25,15,26,2,30,0.41379310344827586,1.0,12,29,13,4,0.041,0.4001257,True
40,21,14,25,15,26,1,31,0.3870967741935484,1.0,12,31,14,5,0.001,0.54773685,True
40,22,14,25,15,26,3,34,0.375,1.0,12,32,12,8,0.179,0.31009598,False
40,23,14,25,15,26,14,30,0.7058823529411765,1.0,12,17,1,4,0.052,0.47709011,False
40,24,14,25,15,26,4,36,0.36363636363636365,1.0,12,33,11,10,0.029,0.4068013,True
40,25,14,25,15,26,3,40,0.3157894736842105,1.0,12,38,12,14,0.094,0.37998604,False
40,26,14,25,15,26,14,33,0.6,1.0,12,20,1,7,0.068,0.40911503,False
40,27,14,25,15,26,15,29,0.8,1.0,12,15,0,3,0.069,0.39962018,False
40,28,14,25,15,26,11,29,0.631578947368421,1.0,12,19,4,3,0.254,0.33166758,False
40,29,14,25,15,26,1,27,0.4444444444444444,1.0,12,27,14,1,0.288,0.31099934,False
40,30,14,25,15,26,11,36,0.46153846153846156,1.0,12,26,4,10,0.023,0.41160337,True
40,31,14,25,15,26,2,26,0.48,1.0,12,25,13,0,0.041,0.44197082,True
40,32,14,25,15,26,5,39,0.34285714285714286,1.0,12,35,10,13,0.029,0.49352071,True
40,33,14,25,15,26,12,33,0.5454545454545454,1.0,12,22,3,7,0.049,0.40409189,True
40,34,14,25,15,26,11,38,0.42857142857142855,1.0,12,28,4,12,0.035,0.37247384,True
40,35,14,25,15,26,8,31,0.5,1.0,12,24,7,5,0.043,0.41461662,True
40,36,14,25,15,26,4,38,0.34285714285714286,1.0,12,35,11,12,0.043,0.40910298,True
40,37,14,25,15,26,15,29,0.8,1.0,12,15,0,3,0.474,0.25843512,False
40,38,14,25,15,26,1,40,0.3,1.0,12,40,14,14,0.503,0.25975416,False
40,39,14,25,15,26,10,26,0.7058823529411765,1.0,12,17,5,0,0.332,0.32063511,False
40,40,14,25,15,26,12,37,0.46153846153846156,1.0,12,26,3,11,0.144,0.33935802,False
40,41,14,25,15,26,1,40,0.3,1.0,12,40,14,14,0.135,0.38585345,False
40,42,14,25,15,26,3,40,0.3157894736842105,1.0,12,38,12,14,0.057,0.40762299,False
40,43,14,25,15,26,1,31,0.3870967741935484,1.0,12,31,14,5,0.025,0.42603164,True
40,44,14,25,15,26,2,39,0.3157894736842105,1.0,12,38,13,13,0.001,0.54391653,True
40,45,14,25,15,26,2,36,0.34285714285714286,1.0,12,35,13,10,0.065,0.39783634,False
40,46,14,25,15,26,3,33,0.3870967741935484,1.0,12,31,12,7,0.206,0.34899449,False
40,47,14,25,15,26,9,27,0.631578947368421,1.0,12,19,6,1,0.074,0.40172299,False
40,48,14,25,15,26,15,26,1.0,1.0,12,12,0,0,0.395,0.29493792,False
40,49,14,25,15,26,2,36,0.34285714285714286,1.0,12,35,13,10,0.017,0.49388338,True
40,50,14,25,15,26,13,32,0.6,1.0,12,20,2,6,0.316,0.28805784,False
40,1,12,27,13,28,3,37,0.45714285714285713,1.0,16,35,10,9,0.002,0.56089015,True
40,2,12,27,13,28,10,31,0.7272727272727273,1.0,16,22,3,3,0.001,0.64309478,True
40,3,12,27,13,28,9,30,0.7272727272727273,1.0,16,22,4,2,0.231,0.33705563,False
40,4,12,27,13,28,5,31,0.5925925925925926,1.0,16,27,8,3,0.097,0.42601291,False
40,5,12,27,13,28,12,37,0.6153846153846154,1.0,16,26,1,9,0.019,0.48379625,True
40,6,12,27,13,28,11,28,0.8888888888888888,1.0,16,18,2,0,0.208,0.32801362,False
40,7,12,27,13,28,2,28,0.5925925925925926,1.0,16,27,11,0,0.022,0.52535031,True
40,8,12,27,13,28,13,40,0.5714285714285714,1.0,16,28,0,12,0.005,0.55536654,True
40,9,12,27,13,28,11,28,0.8888888888888888,1.0,16,18,2,0,0.052,0.33169971,False
40,10,12,27,13,28,2,40,0.41025641025641024,1.0,16,39,11,12,0.062,0.33966681,False
40,11,12,27,13,28,11,40,0.5333333333333333,1.0,16,30,2,12,0.004,0.58134297,True
40,12,12,27,13,28,12,35,0.6666666666666666,1.0,16,24,1,7,0.091,0.34565681,False
40,13,12,27,13,28,13,34,0.7272727272727273,1.0,16,22,0,6,0.056,0.43177864,False
40,14,12,27,13,28,1,39,0.41025641025641024,1.0,16,39,12,11,0.001,0.64094918,True
40,15,12,27,13,28,7,39,0.48484848484848486,1.0,16,33,6,11,0.005,0.5853495,True
40,16,12,27,13,28,13,29,0.9411764705882353,1.0,16,17,0,1,0.099,0.4022127,False
40,17,12,27,13,28,8,30,0.6956521739130435,1.0,16,23,5,2,0.06,0.40942342,False
40,18,12,27,13,28,9,31,0.6956521739130435,1.0,16,23,4,3,0.089,0.3570672,False
40,19,12,27,13,28,8,28,0.7619047619047619,1.0,16,21,5,0,0.003,0.5062685,True
40,20,12,27,13,28,2,30,0.5517241379310345,1.0,16,29,11,2,0.007,0.51748232,True
40,21,12,27,13,28,1,31,0.5161290322580645,1.0,16,31,12,3,0.001,0.56843346,True
40,22,12,27,13,28,3,34,0.5,1.0,16,32,10,6,0.007,0.48780034,True
40,23,12,27,13,28,13,30,0.8888888888888888,1.0,16,18,0,2,0.007,0.6121301,True
40,24,12,27,13,28,2,35,0.47058823529411764,1.0,16,34,11,7,0.075,0.3784706,False
40,25,12,27,13,28,3,40,0.42105263157894735,1.0,16,38,10,12,0.033,0.44793158,True
40,26,12,27,13,28,13,33,0.7619047619047619,1.0,16,21,0,5,0.044,0.4404046,True
40,27,12,27,13,28,13,29,0.9411764705882353,1.0,16,17,0,1,0.019,0.47052625,True
40,28,12,27,13,28,11,29,0.8421052631578947,1.0,16,19,2,1,0.075,0.44492961,False
40,29,12,27,13,28,1,28,0.5714285714285714,1.0,16,28,12,0,0.095,0.39165895,False
40,30,12,27,13,28,11,36,0.6153846153846154,1.0,16,26,2,8,0.035,0.42890165,True
40,31,12,27,13,28,2,33,0.5,1.0,16,32,11,5,0.006,0.565925,True
40,32,12,27,13,28,5,39,0.45714285714285713,1.0,16,35,8,11,0.024,0.50405739,True
40,33,12,27,13,28,12,33,0.7272727272727273,1.0,16,22,1,5,0.026,0.44211975,True
40,34,12,27,13,28,11,38,0.5714285714285714,1.0,16,28,2,10,0.013,0.44066519,True
40,35,12,27,13,28,8,30,0.6956521739130435,1.0,16,23,5,2,0.012,0.49901608,True
40,36,12,27,13,28,4,38,0.45714285714285713,1.0,16,35,9,10,0.015,0.5263916,True
40,37,12,27,13,28,1,29,0.5517241379310345,1.0,16,29,12,1,0.035,0.43174635,True
40,38,12,27,13,28,1,40,0.4,1.0,16,40,12,12,0.017,0.51831581,True
40,39,12,27,13,28,10,28,0.8421052631578947,1.0,16,19,3,0,0.15,0.40947562,False
40,40,12,27,13,28,12,37,0.6153846153846154,1.0,16,26,1,9,0.11,0.35075977,False
40,41,12,27,13,28,1,40,0.4,1.0,16,40,12,12,0.048,0.45327523,True
40,42,12,27,13,28,3,40,0.42105263157894735,1.0,16,38,10,12,0.033,0.47443259,True
40,43,12,27,13,28,1,31,0.5161290322580645,1.0,16,31,12,3,0.002,0.54489113,True
40,44,12,27,13,28,2,39,0.42105263157894735,1.0,16,38,11,11,0.0,0.680985,True
40,45,12,27,13,28,2,36,0.45714285714285713,1.0,16,35,11,8,0.005,0.56260236,True
40,46,12,27,13,28,3,33,0.5161290322580645,1.0,16,31,10,5,0.022,0.53452456,True
40,47,12,27,13,28,9,31,0.6956521739130435,1.0,16,23,4,3,0.012,0.51193063,True
40,48,12,27,13,28,7,35,0.5517241379310345,1.0,16,29,6,7,0.051,0.48945111,False
40,49,12,27,13,28,2,36,0.45714285714285713,1.0,16,35,11,8,0.009,0.5457934,True
40,50,12,27,13,28,13,29,0.9411764705882353,1.0,16,17,0,1,0.318,0.29272249,False
