mode,n,seed,P,LA,detected
global_assoc,80,1,0.001,0.9728,True
global_assoc,80,2,0.001,0.9914,True
global_assoc,80,3,0.001,0.9917,True
global_assoc,80,4,0.001,0.9624,True
global_assoc,80,5,0.001,0.9568,True
global_assoc,80,6,0.001,1.0054,True
global_assoc,80,7,0.001,0.9935,True
global_assoc,80,8,0.001,0.9594,True
global_assoc,80,9,0.001,0.945,True
global_assoc,80,10,0.001,0.9873,True
global_assoc,80,11,0.001,0.9987,True
global_assoc,80,12,0.001,0.9533,True
global_assoc,80,13,0.001,0.9764,True
global_assoc,80,14,0.001,0.9433,True
global_assoc,80,15,0.001,0.9861,True
global_assoc,80,16,0.001,0.9201,True
global_assoc,80,17,0.001,0.9752,True
global_assoc,80,18,0.001,0.9702,True
global_assoc,80,19,0.001,1.0124,True
global_assoc,80,20,0.001,0.9936,True
global_assoc,80,21,0.001,1.0197,True
global_assoc,80,22,0.001,0.9711,True
global_assoc,80,23,0.001,0.9832,True
global_assoc,80,24,0.001,0.9541,True
global_assoc,80,25,0.001,0.9866,True
global_assoc,80,26,0.001,0.9687,True
global_assoc,80,27,0.001,0.9546,True
global_assoc,80,28,0.001,0.9681,True
global_assoc,80,29,0.001,0.9685,True
global_assoc,80,30,0.001,1.0342,True
global_assoc,80,31,0.001,1.0043,True
global_assoc,80,32,0.001,0.988,True
global_assoc,80,33,0.001,0.9742,True
global_assoc,80,34,0.001,0.9483,True
global_assoc,80,35,0.001,0.9786,True
global_assoc,80,36,0.001,0.9967,True
global_assoc,80,37,0.001,0.9828,True
global_assoc,80,38,0.001,0.8949,True
global_assoc,80,39,0.001,0.9903,True
global_assoc,80,40,0.001,0.9633,True
global_assoc,80,41,0.001,0.9794,True
global_assoc,80,42,0.001,0.9977,True
global_assoc,80,43,0.001,0.9922,True
global_assoc,80,44,0.001,0.9769,True
global_assoc,80,45,0.001,0.9889,True
global_assoc,80,46,0.001,0.9173,True
global_assoc,80,47,0.001,0.9648,True
global_assoc,80,48,0.001,0.9964,True
global_assoc,80,49,0.001,0.9894,True
global_assoc,80,50,0.001,0.9668,True
null,80,1,0.7792,-0.1069,False
null,80,2,0.7722,-0.1092,False
null,80,3,0.8991,0.1075,False
null,80,4,0.5774,-0.1514,False
null,80,5,0.3397,0.1514,False
null,80,6,0.8701,0.1102,False
null,80,7,0.3986,-0.1551,False
null,80,8,0.3536,-0.1487,False
null,80,9,0.7313,0.1187,False
null,80,10,0.0889,0.2267,False
null,80,11,0.1219,-0.2298,False
null,80,12,0.961,0.0915,False
null,80,13,0.5604,-0.1573,False
null,80,14,0.4835,0.1894,False
null,80,15,0.986,-0.0856,False
null,80,16,0.6094,-0.1336,False
null,80,17,0.5864,-0.141,False
null,80,18,0.7343,-0.1071,False
null,80,19,0.6743,0.126,False
null,80,20,0.3986,0.1797,False
null,80,21,0.8721,-0.1076,False
null,80,22,0.2388,-0.1791,False
null,80,23,0.0569,0.2152,False
null,80,24,0.5355,0.1508,False
null,80,25,0.8811,0.1037,False
null,80,26,0.4885,-0.1394,False
null,80,27,0.4995,-0.1489,False
null,80,28,0.1928,-0.2079,False
null,80,29,0.8741,-0.1185,False
null,80,30,0.1588,-0.2085,False
null,80,31,0.5784,-0.1485,False
null,80,32,0.5854,-0.1343,False
null,80,33,0.5764,0.1302,False
null,80,34,0.9441,0.1024,False
null,80,35,0.3057,0.1858,False
null,80,36,0.0679,-0.2577,False
null,80,37,0.4126,-0.1642,False
null,80,38,0.3067,-0.2091,False
null,80,39,0.9191,-0.0877,False
null,80,40,0.8701,0.1144,False
null,80,41,0.4945,-0.1564,False
null,80,42,0.1668,0.1954,False
null,80,43,0.5974,-0.1228,False
null,80,44,0.4995,0.1478,False
null,80,45,0.012,-0.3226,True
null,80,46,0.8402,0.1059,False
null,80,47,0.2637,-0.1863,False
null,80,48,0.5435,0.129,False
null,80,49,0.8691,-0.1221,False
null,80,50,0.1868,0.2077,False
