mode,n,seed,P,LA,detected
global_assoc,100,1,0.001,0.9729,True
global_assoc,100,2,0.001,0.9935,True
global_assoc,100,3,0.001,0.9796,True
global_assoc,100,4,0.001,0.9942,True
global_assoc,100,5,0.001,0.9906,True
global_assoc,100,6,0.001,0.9827,True
global_assoc,100,7,0.001,0.9994,True
global_assoc,100,8,0.001,0.96,True
global_assoc,100,9,0.001,0.9661,True
global_assoc,100,10,0.001,0.9776,True
global_assoc,100,11,0.001,0.9755,True
global_assoc,100,12,0.001,0.9868,True
global_assoc,100,13,0.001,0.9851,True
global_assoc,100,14,0.001,0.9364,True
global_assoc,100,15,0.001,0.9859,True
global_assoc,100,16,0.001,0.9681,True
global_assoc,100,17,0.001,0.9959,True
global_assoc,100,18,0.001,0.9781,True
global_assoc,100,19,0.001,0.9742,True
global_assoc,100,20,0.001,0.9864,True
global_assoc,100,21,0.001,0.9944,True
global_assoc,100,22,0.001,0.9832,True
global_assoc,100,23,0.001,0.9888,True
global_assoc,100,24,0.001,0.9993,True
global_assoc,100,25,0.001,0.9912,True
global_assoc,100,26,0.001,0.984,True
global_assoc,100,27,0.001,0.9727,True
global_assoc,100,28,0.001,0.994,True
global_assoc,100,29,0.001,0.9483,True
global_assoc,100,30,0.001,0.9864,True
global_assoc,100,31,0.001,0.9597,True
global_assoc,100,32,0.001,1.0001,True
global_assoc,100,33,0.001,0.9702,True
global_assoc,100,34,0.001,0.9967,True
global_assoc,100,35,0.001,0.956,True
global_assoc,100,36,0.001,0.969,True
global_assoc,100,37,0.001,0.9834,True
global_assoc,100,38,0.001,0.9589,True
global_assoc,100,39,0.001,0.99,True
global_assoc,100,40,0.001,0.9613,True
global_assoc,100,41,0.001,0.9983,True
global_assoc,100,42,0.001,0.9635,True
global_assoc,100,43,0.001,0.9926,True
global_assoc,100,44,0.001,0.9626,True
global_assoc,100,45,0.001,0.9951,True
global_assoc,100,46,0.001,0.973,True
global_assoc,100,47,0.001,0.9902,True
global_assoc,100,48,0.001,0.9303,True
global_assoc,100,49,0.001,0.9853,True
global_assoc,100,50,0.001,0.9842,True
null,100,1,0.9371,-0.0886,False
null,100,2,0.5055,-0.1394,False
null,100,3,0.7952,0.109,False
null,100,4,0.7383,0.1127,False
null,100,5,0.1658,0.1974,False
null,100,6,0.6394,0.1185,False
null,100,7,0.2088,0.1747,False
null,100,8,0.7782,-0.1019,False
null,100,9,0.4575,0.1383,False
null,100,10,0.8052,-0.1097,False
null,100,11,0.2328,-0.1633,False
null,100,12,0.1299,-0.1825,False
null,100,13,0.01,-0.3447,True
null,100,14,0.0569,-0.238,False
null,100,15,0.1578,0.1872,False
null,100,16,0.7742,-0.1074,False
null,100,17,0.8112,-0.1097,False
null,100,18,0.3307,0.1754,False
null,100,19,0.98,0.0841,False
null,100,20,0.1179,-0.1782,False
null,100,21,0.2697,0.1504,False
null,100,22,0.3896,-0.1686,False
null,100,23,0.6533,0.1339,False
null,100,24,0.3696,0.1519,False
null,100,25,0.2268,-0.1831,False
null,100,26,0.984,0.0713,False
null,100,27,0.6503,-0.1119,False
null,100,28,0.8651,-0.0964,False
null,100,29,0.7453,0.1243,False
null,100,30,0.98,-0.08,False
null,100,31,0.978,-0.0791,False
null,100,32,0.5514,0.1318,False
null,100,33,0.4645,0.146,False
null,100,34,0.6124,-0.1263,False
null,100,35,0.7403,0.1188,False
null,100,36,0.0699,-0.2237,False
null,100,37,0.2827,0.1528,False
null,100,38,0.0849,-0.2137,False
null,100,39,0.6204,0.1301,False
null,100,40,0.9131,-0.0882,False
null,100,41,0.6374,-0.1227,False
null,100,42,0.5445,-0.1403,False
null,100,43,0.2438,-0.1701,False
null,100,44,0.3786,-0.1344,False
null,100,45,0.4965,0.1572,False
null,100,46,0.4585,-0.1643,False
null,100,47,0.9121,0.0985,False
null,100,48,0.6923,0.1131,False
null,100,49,0.953,0.0884,False
null,100,50,0.9061,0.1014,False
