n,seed,corr_start0,corr_end0,s_true,e_true,s_pred,e_pred,J,Coverage,L_int,L_union,MAE_start,MAE_end,P,LA,power_hit
20,1,7,12,8,13,1,18,0.3333333333333333,1.0,6,18,7,5,0.03,0.55824273,True
20,2,7,12,8,13,1,13,0.46153846153846156,1.0,6,13,7,0,0.607,0.29464778,False
20,3,7,12,8,13,4,20,0.35294117647058826,1.0,6,17,4,7,0.004,0.57856263,True
20,4,7,12,8,13,1,14,0.42857142857142855,1.0,6,14,7,1,0.061,0.48780975,False
20,5,7,12,8,13,6,17,0.5,1.0,6,12,2,4,0.315,0.41134448,False
20,6,7,12,8,13,4,18,0.4,1.0,6,15,4,5,0.128,0.39049238,False
20,7,7,12,8,13,1,20,0.3,1.0,6,20,7,7,0.252,0.40979273,False
20,8,7,12,8,13,6,14,0.6666666666666666,1.0,6,9,2,1,0.211,0.48403124,False
20,9,7,12,8,13,7,19,0.46153846153846156,1.0,6,13,1,6,0.157,0.4288854,False
20,10,7,12,8,13,15,20,0.0,0.0,0,12,7,7,0.249,0.36036511,False
20,11,7,12,8,13,4,18,0.4,1.0,6,15,4,5,0.009,0.58820759,True
20,12,7,12,8,13,2,14,0.46153846153846156,1.0,6,13,6,1,0.145,0.49940823,False
20,13,7,12,8,13,3,20,0.3333333333333333,1.0,6,18,5,7,0.325,0.39466662,False
20,14,7,12,8,13,8,13,1.0,1.0,6,6,0,0,0.645,0.30549198,False
20,15,7,12,8,13,3,15,0.46153846153846156,1.0,6,13,5,2,0.506,0.32639406,False
20,16,7,12,8,13,7,15,0.6666666666666666,1.0,6,9,1,2,0.475,0.3783421,False
20,17,7,12,8,13,3,13,0.5454545454545454,1.0,6,11,5,0,0.127,0.41890256,False
20,18,7,12,8,13,6,15,0.6,1.0,6,10,2,2,0.744,0.27536408,False
20,19,7,12,8,13,2,5,0.0,0.0,0,10,6,8,0.448,-0.3234089,False
20,20,7,12,8,13,2,17,0.375,1.0,6,16,6,4,0.197,0.44971956,False
20,21,7,12,8,13,1,16,0.375,1.0,6,16,7,3,0.624,0.35564095,False
20,22,7,12,8,13,8,17,0.6,1.0,6,10,0,4,0.668,0.19910578,False
20,23,7,12,8,13,1,7,0.0,0.0,0,13,7,6,0.362,-0.31775643,False
20,24,7,12,8,13,14,20,0.0,0.0,0,13,6,7,0.765,-0.22346861,False
20,25,7,12,8,13,5,20,0.375,1.0,6,16,3,7,0.03,0.54615979,True
20,26,7,12,8,13,3,20,0.3333333333333333,1.0,6,18,5,7,0.216,0.4384131,False
20,27,7,12,8,13,3,20,0.3333333333333333,1.0,6,18,5,7,0.011,0.45513013,True
20,28,7,12,8,13,5,16,0.5,1.0,6,12,3,3,0.425,0.32650427,False
20,29,7,12,8,13,8,18,0.5454545454545454,1.0,6,11,0,5,0.179,0.45118211,False
20,30,7,12,8,13,8,19,0.5,1.0,6,12,0,6,0.41,0.33973416,False
20,31,7,12,8,13,5,19,0.4,1.0,6,15,3,6,0.689,0.2046446,False
20,32,7,12,8,13,4,5,0.0,0.0,0,8,4,8,0.382,-0.35450768,False
20,33,7,12,8,13,6,11,0.5,0.6666666666666666,4,8,2,2,0.373,0.30414649,False
20,34,7,12,8,13,5,18,0.42857142857142855,1.0,6,14,3,5,0.075,0.57129852,False
20,35,7,12,8,13,8,18,0.5454545454545454,1.0,6,11,0,5,0.484,0.34363756,False
20,36,7,12,8,13,1,18,0.3333333333333333,1.0,6,18,7,5,0.011,0.50630516,True
20,37,7,12,8,13,4,13,0.6,1.0,6,10,4,0,0.551,0.33856487,False
20,38,7,12,8,13,6,13,0.75,1.0,6,8,2,0,0.637,0.28400356,False
20,39,7,12,8,13,7,13,0.8571428571428571,1.0,6,7,1,0,0.531,0.30971747,False
20,40,7,12,8,13,8,17,0.6,1.0,6,10,0,4,0.376,0.37292206,False
20,41,7,12,8,13,1,16,0.375,1.0,6,16,7,3,0.596,0.23121415,False
20,42,7,12,8,13,2,17,0.375,1.0,6,16,6,4,0.058,0.56300364,False
20,43,7,12,8,13,2,20,0.3157894736842105,1.0,6,19,6,7,0.001,0.57211677,True
20,44,7,12,8,13,3,17,0.4,1.0,6,15,5,4,0.055,0.65061079,False
20,45,7,12,8,13,1,13,0.46153846153846156,1.0,6,13,7,0,0.404,0.31580326,False
20,46,7,12,8,13,7,16,0.6,1.0,6,10,1,3,0.072,0.55960264,False
20,47,7,12,8,13,1,19,0.3157894736842105,1.0,6,19,7,6,0.233,0.35121702,False
20,48,7,12,8,13,7,20,0.42857142857142855,1.0,6,14,1,7,0.452,0.35592174,False
20,49,7,12,8,13,8,19,0.5,1.0,6,12,0,6,0.537,0.28939573,False
20,50,7,12,8,13,2,13,0.5,1.0,6,12,6,0,0.03,0.55853554,True
20,1,6,13,7,14,1,18,0.4444444444444444,1.0,8,18,6,4,0.023,0.5724851,True
20,2,6,13,7,14,1,14,0.5714285714285714,1.0,8,14,6,0,0.472,0.32226601,False
20,3,6,13,7,14,4,20,0.47058823529411764,1.0,8,17,3,6,0.004,0.63023743,True
20,4,6,13,7,14,1,12,0.42857142857142855,0.75,6,14,6,2,0.028,0.54636493,True
20,5,6,13,7,14,6,17,0.6666666666666666,1.0,8,12,1,3,0.072,0.59935217,False
20,6,6,13,7,14,4,18,0.5333333333333333,1.0,8,15,3,4,0.028,0.56766796,True
20,7,6,13,7,14,1,20,0.4,1.0,8,20,6,6,0.233,0.43937423,False
20,8,6,13,7,14,6,14,0.8888888888888888,1.0,8,9,1,0,0.022,0.69046604,True
20,9,6,13,7,14,7,19,0.6153846153846154,1.0,8,13,0,5,0.253,0.39995657,False
20,10,6,13,7,14,7,20,0.5714285714285714,1.0,8,14,0,6,0.003,0.5910155,True
20,11,6,13,7,14,3,18,0.5,1.0,8,16,4,4,0.05,0.52203244,True
20,12,6,13,7,14,2,14,0.6153846153846154,1.0,8,13,5,0,0.018,0.69887767,True
20,13,6,13,7,14,3,20,0.4444444444444444,1.0,8,18,4,6,0.094,0.53970493,False
20,14,6,13,7,14,7,14,1.0,1.0,8,8,0,0,0.609,0.30914923,False
20,15,6,13,7,14,3,14,0.6666666666666666,1.0,8,12,4,0,0.178,0.48793621,False
20,16,6,13,7,14,10,15,0.5555555555555556,0.625,5,9,3,1,0.384,0.38971121,False
20,17,6,13,7,14,3,17,0.5333333333333333,1.0,8,15,4,3,0.02,0.58746484,True
20,18,6,13,7,14,6,15,0.8,1.0,8,10,1,1,0.711,0.28057464,False
20,19,6,13,7,14,6,16,0.7272727272727273,1.0,8,11,1,2,0.287,0.43102358,False
20,20,6,13,7,14,2,17,0.5,1.0,8,16,5,3,0.236,0.43899755,False
20,21,6,13,7,14,17,20,0.0,0.0,0,12,10,6,0.675,-0.33473728,False
20,22,6,13,7,14,7,16,0.8,1.0,8,10,0,2,0.334,0.27683221,False
20,23,6,13,7,14,7,18,0.6666666666666666,1.0,8,12,0,4,0.412,0.35786674,False
20,24,6,13,7,14,3,14,0.6666666666666666,1.0,8,12,4,0,0.29,0.43961641,False
20,25,6,13,7,14,5,20,0.5,1.0,8,16,2,6,0.025,0.55279291,True
20,26,6,13,7,14,3,20,0.4444444444444444,1.0,8,18,4,6,0.044,0.60058498,True
20,27,6,13,7,14,3,20,0.4444444444444444,1.0,8,18,4,6,0.007,0.60297433,True
20,28,6,13,7,14,5,16,0.6666666666666666,1.0,8,12,2,2,0.034,0.60379668,True
20,29,6,13,7,14,6,18,0.6153846153846154,1.0,8,13,1,4,0.046,0.58682069,True
20,30,6,13,7,14,7,20,0.5714285714285714,1.0,8,14,0,6,0.014,0.75380135,True
20,31,6,13,7,14,5,14,0.8,1.0,8,10,2,0,0.43,0.26145276,False
20,32,6,13,7,14,4,5,0.0,0.0,0,10,3,9,0.491,-0.35450768,False
20,33,6,13,7,14,6,19,0.5714285714285714,1.0,8,14,1,5,0.106,0.43979659,False
20,34,6,13,7,14,5,18,0.5714285714285714,1.0,8,14,2,4,0.081,0.56300476,False
20,35,6,13,7,14,4,18,0.5333333333333333,1.0,8,15,3,4,0.235,0.51022362,False
20,36,6,13,7,14,1,18,0.4444444444444444,1.0,8,18,6,4,0.012,0.50555352,True
20,37,6,13,7,14,4,20,0.47058823529411764,1.0,8,17,3,6,0.031,0.63591614,True
20,38,6,13,7,14,6,15,0.8,1.0,8,10,1,1,0.266,0.42754411,False
20,39,6,13,7,14,7,14,1.0,1.0,8,8,0,0,0.297,0.39762989,False
20,40,6,13,7,14,6,17,0.6666666666666666,1.0,8,12,1,3,0.12,0.52249835,False
20,41,6,13,7,14,1,16,0.5,1.0,8,16,6,2,0.04,0.40911909,True
20,42,6,13,7,14,2,17,0.5,1.0,8,16,5,3,0.103,0.48702613,False
20,43,6,13,7,14,2,20,0.42105263157894735,1.0,8,19,5,6,0.0,0.66068328,True
20,44,6,13,7,14,1,17,0.47058823529411764,1.0,8,17,6,3,0.033,0.69674058,True
20,45,6,13,7,14,1,13,0.5,0.875,7,14,6,1,0.082,0.50318904,False
20,46,6,13,7,14,7,19,0.6153846153846154,1.0,8,13,0,5,0.058,0.58039379,False
20,47,6,13,7,14,1,19,0.42105263157894735,1.0,8,19,6,5,0.041,0.57830403,True
20,48,6,13,7,14,7,15,0.8888888888888888,1.0,8,9,0,1,0.266,0.41133051,False
20,49,6,13,7,14,7,17,0.7272727272727273,1.0,8,11,0,3,0.281,0.43693858,False
20,50,6,13,7,14,2,14,0.6153846153846154,1.0,8,13,5,0,0.071,0.51562679,False
20,1,5,14,6,15,1,18,0.5555555555555556,1.0,10,18,5,3,0.052,0.62539602,False
20,2,5,14,6,15,1,16,0.625,1.0,10,16,5,1,0.056,0.56961608,False
20,3,5,14,6,15,4,17,0.7142857142857143,1.0,10,14,2,2,0.002,0.75226911,True
20,4,5,14,6,15,1,19,0.5263157894736842,1.0,10,19,5,4,0.003,0.62840922,True
20,5,5,14,6,15,4,17,0.7142857142857143,1.0,10,14,2,2,0.035,0.7204638,True
20,6,5,14,6,15,4,18,0.6666666666666666,1.0,10,15,2,3,0.02,0.60657604,True
20,7,5,14,6,15,1,20,0.5,1.0,10,20,5,5,0.307,0.43501103,False
20,8,5,14,6,15,6,17,0.8333333333333334,1.0,10,12,0,2,0.068,0.64167512,False
20,9,5,14,6,15,6,18,0.7692307692307693,1.0,10,13,0,3,0.207,0.4157905,False
20,10,5,14,6,15,1,20,0.5,1.0,10,20,5,5,0.0,0.7145189,True
20,11,5,14,6,15,3,17,0.6666666666666666,1.0,10,15,3,2,0.006,0.71652945,True
20,12,5,14,6,15,2,15,0.7142857142857143,1.0,10,14,4,0,0.01,0.77675208,True
20,13,5,14,6,15,3,19,0.5882352941176471,1.0,10,17,3,4,0.173,0.47637272,False
20,14,5,14,6,15,7,15,0.9,0.9,9,10,1,0,0.133,0.53164051,False
20,15,5,14,6,15,3,19,0.5882352941176471,1.0,10,17,3,4,0.22,0.45222029,False
20,16,5,14,6,15,9,15,0.7,0.7,7,10,3,0,0.369,0.39969996,False
20,17,5,14,6,15,1,18,0.5555555555555556,1.0,10,18,5,3,0.003,0.67441304,True
20,18,5,14,6,15,6,14,0.9,0.9,9,10,0,1,0.228,0.4832394,False
20,19,5,14,6,15,5,16,0.8333333333333334,1.0,10,12,1,1,0.432,0.3820159,False
20,20,5,14,6,15,2,17,0.625,1.0,10,16,4,2,0.023,0.58635859,True
20,21,5,14,6,15,3,16,0.7142857142857143,1.0,10,14,3,1,0.133,0.52745787,False
20,22,5,14,6,15,6,16,0.9090909090909091,1.0,10,11,0,1,0.236,0.32481909,False
20,23,5,14,6,15,6,18,0.7692307692307693,1.0,10,13,0,3,0.209,0.40290622,False
20,24,5,14,6,15,3,16,0.7142857142857143,1.0,10,14,3,1,0.558,0.338677,False
20,25,5,14,6,15,5,20,0.625,1.0,10,16,1,5,0.02,0.58645688,True
