n,corr_len,R,J_mean,J_std,Coverage_mean,Coverage_std,MAE_start_mean,MAE_start_std,MAE_end_mean,MAE_end_std,Power,Power_SE,LA_mean,LA_std
20,6,50,0.4319286642150419,0.20098377332839565,0.8933333333333333,0.3044641402503958,3.92,2.530144788952052,4.08,2.5859905140536594,0.16,0.05184592558726288,0.352321225,0.22432396886130893
20,8,50,0.5765321668355724,0.19079188540714043,0.945,0.20541148349354865,3.02,2.403144198922804,3.26,2.3106673653880576,0.42,0.06979971346646059,0.4734694228,0.20463615088500894
20,10,50,0.6884825460057659,0.1369746969910398,0.988,0.04797958749641904,2.44,1.9499869178001776,2.6,1.7023393268304265,0.48,0.07065408693062278,0.5550137296,0.11905768939248118
