n,corr_len,R,J_mean,J_std,Coverage_mean,Coverage_std,MAE_start_mean,MAE_start_std,MAE_end_mean,MAE_end_std,Power,Power_SE,LA_mean,LA_std
40,6,50,0.26923841678816623,0.14518384582205604,0.9,0.30304576336566325,8.92,6.08390315102241,8.68,5.6836320666795235,0.14,0.04907137658554119,0.2562620512,0.1555667807223194
40,8,50,0.37739882172217104,0.17275429752882723,0.955,0.19846348556356863,7.62,6.003026447602263,8.1,5.585147943521318,0.2,0.05656854249492381,0.3065423158,0.13114375696576658
40,12,50,0.5085568784681965,0.16343940184458836,0.9983333333333333,0.011785113019775797,7.18,5.10178040151731,6.7,4.879151816553733,0.42,0.06979971346646059,0.3868181568,0.08047628393839797
40,16,50,0.6132784342119673,0.1630185816461373,1.0,0.0,6.16,4.581952172850095,5.7,4.286904596606759,0.66,0.0669925368977769,0.47517492299999997,0.09128538966596188
