mode,n,seed,P,LA,detected
global_assoc,20,1,0.002,0.9389,True
global_assoc,20,2,0.003,0.8918,True
global_assoc,20,3,0.001,0.8122,True
global_assoc,20,4,0.001,0.9623,True
global_assoc,20,5,0.001,0.9258,True
global_assoc,20,6,0.001,0.8361,True
global_assoc,20,7,0.001,0.9593,True
global_assoc,20,8,0.001,1.0137,True
global_assoc,20,9,0.001,0.8638,True
global_assoc,20,10,0.001,0.9596,True
global_assoc,20,11,0.002,0.8227,True
global_assoc,20,12,0.002,0.8818,True
global_assoc,20,13,0.021,0.75,True
global_assoc,20,14,0.001,1.013,True
global_assoc,20,15,0.004,0.885,True
global_assoc,20,16,0.001,0.9073,True
global_assoc,20,17,0.001,0.9889,True
global_assoc,20,18,0.004,0.8729,True
global_assoc,20,19,0.001,1.128,True
global_assoc,20,20,0.001,0.924,True
global_assoc,20,21,0.002,0.8976,True
global_assoc,20,22,0.006,0.8422,True
global_assoc,20,23,0.001,1.0309,True
global_assoc,20,24,0.001,0.9116,True
global_assoc,20,25,0.001,0.9858,True
global_assoc,20,26,0.001,0.9411,True
global_assoc,20,27,0.001,0.9571,True
global_assoc,20,28,0.002,0.8666,True
global_assoc,20,29,0.001,0.9021,True
global_assoc,20,30,0.0759,0.6537,False
global_assoc,20,31,0.1049,0.5634,False
global_assoc,20,32,0.001,0.8669,True
global_assoc,20,33,0.002,0.8821,True
global_assoc,20,34,0.001,0.9569,True
global_assoc,20,35,0.001,0.9682,True
global_assoc,20,36,0.001,1.0317,True
global_assoc,20,37,0.001,1.0233,True
global_assoc,20,38,0.001,0.9319,True
global_assoc,20,39,0.004,0.8391,True
global_assoc,20,40,0.004,0.8932,True
global_assoc,20,41,0.004,0.8882,True
global_assoc,20,42,0.008,0.7805,True
global_assoc,20,43,0.002,0.9318,True
global_assoc,20,44,0.004,0.8455,True
global_assoc,20,45,0.001,0.9522,True
global_assoc,20,46,0.001,0.9599,True
global_assoc,20,47,0.002,0.8061,True
global_assoc,20,48,0.002,0.8495,True
global_assoc,20,49,0.001,0.9412,True
global_assoc,20,50,0.001,0.9298,True
null,20,1,0.8202,0.1487,False
null,20,2,0.2238,0.4015,False
null,20,3,0.6563,-0.2504,False
null,20,4,0.7532,-0.2035,False
null,20,5,0.3197,0.3313,False
null,20,6,0.3816,-0.271,False
null,20,7,0.964,0.1716,False
null,20,8,0.3207,-0.3676,False
null,20,9,0.7972,-0.2196,False
null,20,10,0.6034,-0.2356,False
null,20,11,0.7622,-0.2577,False
null,20,12,0.2567,-0.3376,False
null,20,13,0.4286,0.4162,False
null,20,14,0.8601,0.1954,False
null,20,15,0.8002,-0.1913,False
null,20,16,0.1189,-0.3839,False
null,20,17,0.5554,-0.3104,False
null,20,18,0.95,0.1443,False
null,20,19,0.8941,-0.21,False
null,20,20,0.6763,0.213,False
null,20,21,0.8651,0.2098,False
null,20,22,0.8951,-0.158,False
null,20,23,0.3816,-0.3,False
null,20,24,0.955,0.1342,False
null,20,25,0.8182,-0.1626,False
null,20,26,0.5624,0.2482,False
null,20,27,0.2627,0.3231,False
null,20,28,0.015,0.5619,True
null,20,29,0.3826,0.311,False
null,20,30,0.3147,-0.245,False
null,20,31,0.048,0.4109,True
null,20,32,0.2967,-0.3732,False
null,20,33,0.9011,0.1814,False
null,20,34,0.7692,-0.191,False
null,20,35,0.3267,-0.3396,False
null,20,36,0.8701,0.2176,False
null,20,37,0.7562,0.2791,False
null,20,38,0.6474,-0.3022,False
null,20,39,0.5564,0.3249,False
null,20,40,0.7303,0.2977,False
null,20,41,0.8282,-0.2348,False
null,20,42,0.0909,0.4375,False
null,20,43,0.5415,0.263,False
null,20,44,0.3387,-0.376,False
null,20,45,0.951,-0.2382,False
null,20,46,0.4226,-0.2754,False
null,20,47,0.5644,0.298,False
null,20,48,0.5175,0.2782,False
null,20,49,0.6923,-0.2262,False
null,20,50,0.7363,0.194,False
