,,,,window_overlap,window_overlap,start_error,start_error,end_error,end_error
,,,,mean,std,mean,std,mean,std
n,alpha,delay_yz,is_global,,,,,,
40,0.8,0,False,0.4532,0.441,-2.6538,1.4126,2.1538,1.3767
40,1.0,0,False,0.5589,0.4251,-2.3438,1.4505,2.4062,1.4997
60,0.8,0,False,0.8339,0.2167,-3.2128,2.1863,2.8723,2.271
60,1.0,0,False,0.8393,0.2201,-3.2553,2.3999,2.6383,2.2207
80,0.8,0,False,0.8935,0.047,-4.22,3.0257,3.52,3.0987
80,1.0,0,False,0.9009,0.0509,-3.78,3.0054,3.4,2.8643
100,0.8,0,False,0.8822,0.048,-5.56,3.4944,5.38,3.7844
100,1.0,0,False,0.9,0.0443,-4.32,3.4902,4.74,3.3674
